type,level,COUNT,PERCENT,percentsup,cells,typename
all,e,35,100,0,35,All
isz,e,315,100,0,315,Initial Size
sic,e,315,100,0,315,SIC
sz,e,315,100,0,315,Size
age,e,325,100,0,325,Age
st,e,1785,100,0,1785,State
ageisz,e,2925,100,0,2925,Age-Initial Size
agesic,e,2925,100,0,2925,Age-SIC
agesz,e,2925,100,0,2925,Age-Size
agest,e,18360,100,0,18360,Age-State
iszst,e,17763,99.529332661,0.5,17847,Initial Size-State
iszsic,e,2819,99.435626102,0.6,2835,Initial Size-SIC
szst,e,17748,99.439713133,0.6,17848,Size-State
szsic,e,2806,99.011997177,1,2834,Size-SIC
ageiszsic,e,24876,95.699007463,4.3,25994,Age-Initial Size-SIC
