type,level,COUNT,PERCENT,percentsup,cells,typename
all,f,35,100,0,35,All
metrononmetro,f,70,100,0,70,Metropolitan and Nonmetro Area
sic,f,315,100,0,315,SIC
age,f,325,100,0,325,Age
isz,f,420,100,0,420,Initial Size
sz,f,420,100,0,420,Size
agemetrononmetro,f,650,100,0,650,Age-Metropolitan and Nonmetro Area
iszmetrononmetro,f,840,100,0,840,Initial Size-Metropolitan and Nonmetro Area
szmetrononmetro,f,840,100,0,840,Size-Metropolitan and Nonmetro Area
st,f,1785,100,0,1785,State
agesic,f,2925,100,0,2925,Age-SIC
iszsic,f,3780,100,0,3780,Initial Size-SIC
szsic,f,3780,100,0,3780,Size-SIC
agesz,f,3843,100,0,3843,Age-Size
ageisz,f,3874,100,0,3874,Age-Initial Size
ageszmetrononmetro,f,7575,100,0,7575,Age-Size-Metropolitan and Nonmetro Area
ageiszmetro,f,7647,100,0,7647,Age-Initial Size-Metropolitan Area
agest,f,18360,100,0,18360,Age-State
iszst,f,23205,100,0,23205,Initial Size-State
szst,f,23205,100,0,23205,Size-State
ageiszsic,f,31500,100,0,31500,Age-Initial Size-SIC
agemsa,f,118950,100,0,118950,Age-MSA
szmsa,f,153688,100,0,153688,Size-MSA
